District Code,District Name,Mandal Code,Mandal Name,Panchayat Code,Panchayat Name
515,SPSR Nellore,5196,Doravarisatram,234545,Anepudi
506,Guntur,5078,Tenali,200803,Angalakuduru
503,Chittoor,5389,Kurabalakota,197220,Angallu
510,Krishna,5029,Gudlavalleru,203145,Angaluru
506,Guntur,5065,Ipur,200215,Angaluru
505,East Godavari,4928,Kapileswarapuram,199257,Angara
517,Prakasam,5150,Lingasamudram,245705,Angirekulapadu
519,Srikakulam,4788,Saravakota,211463,Anguru
510,Krishna,4992,Penuganchiprolu,203688,Anigandlapadu
517,Prakasam,5145,Chandra Sekhara Puram,235114,Anikalapalli
515,SPSR Nellore,5182,Venkatachalam,209115,Anikepalli
503,Chittoor,5425,Santhipuram,197682,Anikera
504,Y.S.R.,5222,Veerapunayunipalle,198857,Animela
503,Chittoor,5427,Kuppam,197190,Animiganipalle
510,Krishna,4997,Tiruvuru,203730,Anjaneyapuram
504,Y.S.R.,5212,Khajipet,198373,Anjeneya Kottalu
503,Chittoor,5377,Yerpedu,198095,Anjimedu
503,Chittoor,5382,K.V.B.Puram,197094,Anjuru
517,Prakasam,5147,Voletivaripalem,235766,Ankabhupalapuram
504,Y.S.R.,5217,Simhadripuram,198766,Ankalamma Gudur
523,West Godavari,4954,Kamavarapukota,214627,Ankalampadu
505,East Godavari,4919,Atreyapuram,199067,Ankampalem
502,Anantapur,5318,Beluguppa,195854,Ankampalli
523,West Godavari,4947,Jeelugu Milli,214593,Ankannagudem
523,West Godavari,4964,Pedavegi,214864,Ankannagudem
517,Prakasam,5137,Kondapi,235468,Ankarlapudi
521,Vizianagaram,4810,Jiyyammavalasa,212745,Ankavaram
517,Prakasam,5129,Marripudi,235542,Ankepalli
503,Chittoor,5390,Pedda Thippasamudram,197430,Ankireddipalle
511,Kurnool,5301,Kolimigundla,204270,Ankireddipalli
503,Chittoor,5392,Madanapalle,197226,Ankisettipalle
520,Visakhapatanam,4872,Chodavaram,211866,Ankupalem
515,SPSR Nellore,5168,Vidavalur,209160,Anna Reddy Palem
523,West Godavari,4950,Tallapudi,215053,Annadevarapeta
515,SPSR Nellore,5158,Kavali,208632,Annagaripalem
505,East Godavari,4924,Ramachandrapuram,199670,Annaipeta
504,Y.S.R.,5204,S.Mydukur,198491,Annaluru
