mandal_name,village_code,village_name
179,591581,Basireddy Palem
208,581140,Basivada
231,593892,Bastipadu
267,590953,Batchalakurapadu
55,595169,Bathalapalle
220,595264,Bathalapalle
11,594531,Bathalur
434,588373,Bathevaram
239,589164,Bathinapadu
461,592052,Bathulapallepadu
391,589055,Bathulavarigudem
156,581340,Bathuva
13,591880,Batrakagollu
439,596558,Battamdoddi
439,596558,Battamdoddi
289,585641,Battapanukulu
37,591827,Battepadu
37,591827,Battepadu
37,591827,Battepadu
557,581529,Batteru
60,580072,Battili
60,580072,Battili
426,591418,Battupalle
250,596432,Battuvaripalle
386,588488,Bavayapalem
172,595531,Bayanakuntapalle
96,593338,Bayanapalle
299,590656,Bayya Varam
288,588150,Bayyanagudem
288,588150,Bayyanagudem
288,588150,Bayyanagudem
42,596127,Bayyappagaripalle
42,596127,Bayyappagaripalle
50,594299,Bayyapu Kodur
251,586326,Bayyavaram
251,586326,Bayyavaram
251,586326,Bayyavaram
291,589932,Bayyavaram
319,586314,Bayyavaram
571,588110,Bayyavaram
652,586418,Bayyavaram
652,586418,Bayyavaram
270,592817,Bedaduru
270,592817,Bedaduru
233,594946,Bedrahalli
26,591977,Bedusupalle
26,591977,Bedusupalle
418,595412,Beechiganipalle
481,595446,Beedupalle
356,596339,Beera Kuppam
42,596123,Beerangi
49,594363,Beeravolu
521,594512,Beeravolu
568,589995,Bejatpuram
568,589995,Bejatpuram
305,581610,Bejjipuram
254,580473,Bejjiputtuga
254,580466,Belagam
254,580466,Belagam
16,581407,Belamam
464,581468,Belamara Polavalasa
109,594431,Beldona
536,596802,Bellakogila
56,589903,Bellamkonda
56,589903,Bellamkonda
56,589903,Bellamkonda
56,589903,Bellamkonda
572,590996,Bellamkondavari Palem
398,587784,Bellampudi
324,580308,Bellupatia
184,594920,Belodu
184,594920,Belodu
57,594905,Beluguppa
262,594583,Belum
262,594584,Belumsingavaram
45,596746,Belupalle
542,579958,Benarai
12,587871,Bendamurulanka
12,587871,Bendamurulanka
584,587314,Bendapudi
31,594180,Benigeri
555,580499,Benkili
114,586225,Bennavolu
242,594676,Bennikal
555,580495,Besiramachandrapuram
354,592837,Bestavemula
296,595126,Bestharapalle
296,595126,Bestharapalle
59,910302,Bethamcherla
59,594245,Bethamcherla (CT)
59,594245,Bethamcherla (CT)
169,594738,Bethapalle
169,594738,Bethapalle
64,588737,Bethapudi
455,590215,Bethapudi
514,590499,Bethapudi
177,589448,Bethavolu  (R)
297,596935,Bevanapalle
297,596935,Bevanapalle
191,594150,Bevinhal
585,593239,Bhadrampalle
654,587065,Bhadravaram
537,580937,Bhadri
89,593108,Bhadripalle
89,593108,Bhadripalle
